"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_turnover","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","FITNESS WELLNES","KIDS SPORTIVE E","LEGGIN JKT GIRL","DOMYOS","LEGGINGS",8669259,"3496.5499999999984","1544",2603,"3135","16832.60000000001","480"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER2 KIDBOY","QUECHUA","FLEECE",8749888,"1654.620000000001","465",936,"1077","10179.509999999966","228"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","WOMAN TS LEGG","DOMYOS","T-SHIRT",8670164,"453.2300000000003","192",303,"334","1697.2900000000016","62"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","OCC W BREATH T","KALENJI","LEGGINGS",8573201,"484.4200000000002","281",359,"395","2284.37","132"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W SWEATS NH","QUECHUA","PULLOVER",8664868,"414.86000000000007","472",129,"129","1514.4200000000003","71"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","JACKET TW GIRL","QUECHUA","JACKET",8559236,"1834.9800000000007","508",1165,"1293","14827.74999999997","468"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER 2 TWBOY","QUECHUA","PADDED JACKET",8554313,"2710.9199999999955","882",965,"1088","18895.499999999978","336"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","COLD WAT WETSUI","OLAIAN","SURF WETSUIT",8504166,"1099.8899999999999","223",73,"79","3254.669999999998","46"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","GIRL'S SWIMSUIT","OLAIAN","BIKINI TOP",8544526,"1810.4900000000011","633",1836,"2176","16126.549999999963","830"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","TROUSERS/SHIRT","SOLOGNAC","TROUSERS",8602500,"1871.6000000000001","483",291,"330","8566.09999999999","140"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","CHILD SKI BL","WEDZE","BASE LAYER",8616212,"5501.329999999994","259",1606,"2120","25348.089999999993","429"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W TT APP OUTFIT","FORCLAZ","T-SHIRT",8493314,"4137.7999999999965","424",927,"1014","16387.259999999995","140"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM CONF SSUIT","OLAIAN","BIKINI TOP",8676184,"146.79","378",149,"169","545.2200000000004","91"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","WOMAN TS LEGG","DOMYOS","LEGGINGS",8588881,"729.2800000000004","389",396,"471","2945.159999999993","187"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","MAN FR CLOTH SK","WEDZE","JACKET",8660085,"2419.7399999999993","379",180,"190","8689.049999999992","95"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","W RUN WARM WTHR","KIPRUN","TANK TOP",8604408,"470.23000000000025","420",339,"389","1872.040000000002","93"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","M'S SWIMSUITS","NABAIJI","SWIMSUIT",8648322,"739.2600000000004","102",445,"560","3016.979999999995","258"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","M RAINY WTHR","KALENJI","WINDBREAKER",8487907,"1115.2600000000004","852",640,"723","7755.849999999967","208"
"CLOTHING","WATER SPORTS UN","SAILING WINDSUR","JR SAIL JACKETS","TRIBORD","JACKET",8676286,"874.4100000000002","717",337,"380","3522.609999999995","140"
"CLOTHING","WATER SPORTS UN","SNORKELING SCUB","SCD SUITS 16/24","SUBEA","NEOPRENE SUIT",8544646,"3949.6299999999965","357",222,"245","10489.029999999986","146"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","AD COLD WEATHER","ADIDAS","TROUSERS",8659317,"1319.5600000000002","667",443,"493","8579.639999999981","203"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","BOY'S SWIMSUITS","NABAIJI","SWIMMING JAMMER",8732152,"2122.6500000000005","618",1200,"1420","16325.669999999933","387"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","GILET TREK W","FORCLAZ","PADDED JACKET",8573838,"2685.069999999996","332",622,"706","12121.769999999964","283"
"CLOTHING","TEAMSPORTS UNIV","RUGBY / GAELIC","APP WINTER MEN","OFFLOAD","TROUSERS",8578066,"2613.7399999999984","329",962,"1163","14125.63999999996","427"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M JACKETS NH","QUECHUA","JACKET",8583189,"2249.0999999999995","373",577,"619","10695.719999999972","191"
"CLOTHING","FITNESS WELLNES","GYMNASTICS ACCR","WOMEN'S GYM APP","DOMYOS","TANK TOP",8664447,"1506.9800000000014","484",1623,"3543","14534.119999999972","630"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","LIGHT CLOTHING","SOLOGNAC","TROUSERS",8578208,"1014.6600000000002","27",231,"266","4699.279999999993","94"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER2 KIDBOY","QUECHUA","TROUSERS",8749892,"3503.0299999999947","512",1634,"1893","25485.060000000005","399"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","W SUN PROTEC","OLAIAN","LEGGINGS",8562352,"1885.1800000000005","157",436,"519","5773.489999999981","267"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","FIT BEG M OUTFI","ADIDAS","TROUSERS",8624055,"3799.0499999999947","1059",568,"620","18795.29999999997","149"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","WOMAN TS LEGG","DOMYOS","T-SHIRT",8352886,"912.6800000000006","269",580,"987","5806.509999999989","138"
"CLOTHING","WATER SPORTS UN","SAILING WINDSUR","W SAIL JACKETS","TRIBORD","JACKET",8647791,"4709.229999999994","418",490,"534","17764.149999999972","249"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","GRL REG SKI JKT","WEDZE","JACKET",8548113,"1259.63","172",315,"324","6333.32999999999","157"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","M'S SWIMSUITS","NABAIJI","SWIMMING TRUNKS",8669727,"2716.4899999999957","326",602,"705","7475.839999999973","289"
"CLOTHING","GOLF UNIVERS","GOLF","MEN GOLF TROUSE","INESIS","TROUSERS",8540513,"4105.6099999999915","203",745,"886","16437.46999999994","333"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT WINDBREAK","FORCLAZ","SOFT SHELL JACKET",8397290,"2279.6199999999994","626",433,"474","17313.109999999964","184"
