"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_pageviews","used_sizeguide_order","used_sizeguide_quantity","used_sizeguide_turnover","used_sizeguide_return_quantity"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W. COLLECTION","DOMYOS","LEGGINGS",8547528,"1409",503,"576","7411.969999999975","273"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","OCC W BREATH T","KALENJI","T-SHIRT",8666208,"1407",328,"400","1023.180000000001","118"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","UNDER TS SR","KIPSTA","TIGHTS",8619310,"1398",957,"1270","14645.229999999963","290"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","JR HOT WEATHER","KIPSTA","SHORTS",8558495,"1393",2623,"3661","16822.53999999997","514"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT OUTFIT","FORCLAZ","TROUSERS",8758164,"1391",341,"390","12897.749999999978","165"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","SUN PROTEC JR","OLAIAN","TOP",8611587,"1382",833,"1004","4321.339999999992","138"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","COLD WAT WETSUI","OLAIAN","SURF WETSUIT",8403240,"1373",347,"439","17233.10999999998","249"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","REG W COLD WTHR","KIPRUN","SWEATSHIRT",8615431,"1352",493,"545","12019.339999999976","178"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MOUNT HIKE L2","QUECHUA","FLEECE",8189216,"1348",814,"951","9961.629999999963","214"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","ARENA","SWIMMING COSTUME",8590958,"1338",351,"414","6284.979999999979","212"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","PANT TS MH H","QUECHUA","ZIP OFF TROUSERS",8669963,"1337",45,"41","584.8100000000001","22"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","MEN SNB CLTHG","DREAMSCAPE","SKI TROUSERS",8640994,"1335",196,"206","8318.959999999992","102"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","WOMAN PANT JACK","DOMYOS","TROUSERS",8664370,"1330",411,"469","5201.209999999985","190"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","WOM FR SK CLOTH","WEDZE","JACKET",8737953,"1317",480,"520","17908.00999999999","318"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W ESSENTIAL","DOMYOS","LEGGINGS",8643332,"1314",273,"313","4779.539999999985","67"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT OUTFIT","FORCLAZ","TROUSERS",8758764,"1309",175,"193","3768.8199999999933","75"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W SWEATS NH","QUECHUA","LEGGINGS",8735778,"1303",383,"426","4697.649999999985","191"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT OUTFIT","FORCLAZ","TROUSERS",8608070,"1276",461,"561","11996.999999999967","261"
"CLOTHING","WATER SPORTS UN","SNORKELING SCUB","SNORKELING TOP","SUBEA","NEOPRENE TOP",8550719,"1275",480,"554","5496.979999999981","250"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","GIRL'S SWIMSUIT","NABAIJI","SWIMMING COSTUME",8600565,"1262",615,"739","2660.0499999999993","144"
"CLOTHING","GOLF UNIVERS","GOLF","M WARM W CLOTH","INESIS","TROUSERS",8732531,"1260",245,"276","6058.479999999985","123"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIMMING COSTUME",8402519,"1257",186,"207","1887.0900000000006","116"
"CLOTHING","FITNESS WELLNES","DANCES","K BALLET CLOTH","STAREVER","BRA",8490173,"1254",275,"448","2261.38","186"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIMSUIT TOP",8732020,"1241",538,"684","4117.829999999988","366"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM CONF SSUIT","OLAIAN","SWIMMING COSTUME",8756262,"1232",397,"482","3523.4899999999966","331"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M PANTS/TS NH","QUECHUA","TROUSERS",8771476,"1225",400,"459","3702.5299999999943","212"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","M'S SWIMSUITS","NABAIJI","SWIM SHORTS",8647088,"1224",751,"1023","5255.919999999976","365"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","M SUN PROTEC","OLAIAN","TOP",8485998,"1215",933,"1113","7432.559999999978","369"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","REG W COLD WTHR","KALENJI","JERSEY",8603912,"1206",422,"470","3903.3299999999927","101"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","TROUSERS",8789023,"1201",253,"313","10358.519999999988","165"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM CONF SSUIT","OLAIAN","BIKINI BOTTOM",8731711,"1200",413,"492","2537.4599999999978","237"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","M RUN UNDERWEAR","KALENJI","BOXER SHORTS",8489345,"1197",849,"1692","9383.559999999978","246"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W TT APP OUTFIT","FORCLAZ","LONG-SLEEVED T-SHIRT",8316437,"1185",634,"692","14429.959999999955","187"
"CLOTHING","WATER SPORTS UN","SAILING WINDSUR","W SAIL JACKETS","TRIBORD","OVERTROUSERS",8676280,"1177",477,"547","7776.109999999983","158"
"CLOTHING","CYCLING UNIVERS","ROAD BIKE AND E","RAIN WIN CUT RD","VAN RYSEL","JACKET",8529358,"1176",353,"401","9766.709999999975","172"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M TT APP OUTFIT","FORCLAZ","TROUSERS",8648839,"1175",249,"294","4613.649999999992","159"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","JACKET TW GIRL","QUECHUA","JACKET",8676237,"1173",430,"488","5638.2599999999875","114"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","ADULTS SKI AND","WEDZE","SOCKS",8641346,"1170",537,"779","4790.909999999994","70"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M TT APP OUTFIT","FORCLAZ","SHORTS",8579286,"1167",253,"295","3488.259999999995","121"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","W RUN UNDERWEAR","KALENJI","SPORTS BRA",8522434,"1159",613,"744","5928.71999999999","416"
