"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_pageviews","used_sizeguide_order","used_sizeguide_quantity","used_sizeguide_turnover","used_sizeguide_return_quantity","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","CHILD SNB CLTHG","DREAMSCAPE","SKI PANTS",8573558,"18",38,"42","2279.62","4","125",162,"195","9595.399999999992","35"
"CLOTHING","WATER SPORTS UN","SNORKELING SCUB","FRD SUITS","SUBEA","WETSUIT",8611499,"18",8,"8","339.96","4","7",26,"36","1319.78","14"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","JR HOT WEATHER","KIPSTA","SHORT-SLEEVE JERSEY",8643436,"18",87,"106","623.2200000000005","28","14",456,"588","3981.0099999999875","89"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","GOALKEEPER","KIPSTA","LONG-SLEEVED T-SHIRT",8562683,"18",26,"25","302.84000000000003","8","14",130,"147","1856.0000000000007","47"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","AQUAGYM AQUABIK","NABAIJI","SWIMMING COSTUME",8790145,"18",18,"21","359.88000000000005","9","37",102,"117","899.7000000000002","87"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","GIRL'S SWIMSUIT","NABAIJI","SWIMSUIT TOP",8738195,"18",39,"42","163.75","17","69",356,"438","1329.6600000000014","204"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIMMING COSTUME",8738000,"18",10,"11","99.96","7","7",79,"82","924.6300000000002","45"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIM BOTTOM",8667312,"18",48,"60","231.82000000000005","42","137",231,"285","1267.0200000000007","187"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W SWEATS NH","QUECHUA","PULLOVER",8664863,"18",29,"31","302.82000000000005","13","21",146,"138","1391.1700000000005","55"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W SHORT/TANK NH","QUECHUA","SKORT",8731999,"18",10,"13","119.91999999999999","5","64",62,"77","929.3800000000002","15"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W SHORT/TANK NH","QUECHUA","SKORT",8554687,"18",21,"24","189.81000000000006","5","38",120,"142","1108.8900000000006","31"
"CLOTHING","TEAMSPORTS UNIV","RUGBY / GAELIC","APP RUGBY MEN","OFFLOAD","SHORT-SLEEVE JERSEY",8586743,"17",26,"27","277.76000000000005","3","11",130,"175","1546.6400000000008","39"
"CLOTHING","RACKETS SPORTS","PADEL PELOTA","W APPAREL","KUIKMA","SKIRT",8734622,"17",30,"30","228.83000000000004","13","8",131,"152","1241.0800000000006","60"
"CLOTHING","RACKETS SPORTS","BADMINTON SQUAS","WOMENS BADMINTO","PERFLY","T-SHIRT",8648108,"17",13,"13","124.88999999999999","2","16",67,"66","478.5700000000002","23"
"CLOTHING","GOLF UNIVERS","GOLF","JR GOLF OUTFIT","INESIS","SKIRT",8756622,"17",22,"29","209.86","15","15",158,"185","1993.670000000001","52"
"CLOTHING","GOLF UNIVERS","GOLF","M WARM W CLOTH","INESIS","SHORT-SLEEVED POLO SHIRT",8667219,"17",24,"27","387.3200000000001","9","22",167,"232","4320.059999999997","38"
"CLOTHING","GOLF UNIVERS","GOLF","M MILD POLOS","INESIS","SHORT-SLEEVED POLO SHIRT",8732656,"17",68,"74","743.5700000000003","18","17",525,"613","6468.019999999977","137"
"CLOTHING","GOLF UNIVERS","GOLF","W COLD CLOTH.","INESIS","FLEECE",8733293,"17",8,"10","149.97","7","1",48,"56","1449.71","27"
"CLOTHING","GOLF UNIVERS","GOLF","WOMEN GOLF PULL","INESIS","PULLOVER",8588566,"17",28,"29","1043.78","7","7",86,"87","2481.399999999998","27"
"CLOTHING","FITNESS WELLNES","YOGA","WOMAN YOGA","KIMJALY","LEGGINGS",8612068,"17",12,"11","93.94999999999999","5","25",75,"82","729.5700000000002","34"
"CLOTHING","FITNESS WELLNES","DANCES","W MODERN CLOTH","STAREVER","LONG-SLEEVED T-SHIRT",8651156,"17",17,"16","188.87000000000003","3","25",80,"87","1063.2600000000004","13"
"CLOTHING","RACKETS SPORTS","TENNIS","ADULT SOCKS","ARTENGO","SOCKS",8544628,"17",61,"79","553.2500000000005","4","32",593,"883","6454.439999999978","27"
"CLOTHING","RACKETS SPORTS","TENNIS","TEN W APP","ARTENGO","LONG-SLEEVED T-SHIRT",8740017,"17",26,"35","597.74","9","10",125,"143","2184.0499999999997","46"
"CLOTHING","RACKETS SPORTS","TENNIS","TEN W APP","ARTENGO","SWEATSHIRT",8576483,"17",27,"32","449.8500000000001","17","52",122,"157","3208.929999999998","50"
"CLOTHING","RACKETS SPORTS","TENNIS","TEN W APP","ARTENGO","T-SHIRT",8667373,"17",42,"47","374.80000000000007","27","15",196,"211","2093.86","97"
"CLOTHING","RACKETS SPORTS","TENNIS","ADULT SOCKS","ARTENGO","SOCKS",8670462,"17",13,"16","98.85000000000001","1","9",116,"132","834.7400000000001","6"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M SHORTS NH","QUECHUA","SHORTS",8644404,"17",67,"71","899.5800000000003","29","1",326,"352","4300.009999999994","153"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M L1 SH PANT","QUECHUA","LONG-SLEEVED T-SHIRT",8525981,"17",58,"67","714.4500000000003","12","110",199,"228","2325.210000000001","49"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M PANTS/TS NH","QUECHUA","T-SHIRT",8785176,"17",98,"102","833.2600000000004","28","20",591,"643","5506.969999999987","140"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","T-SHIRT",8669686,"17",7,"7","179.94","1","4",30,"31","809.7300000000001","4"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M JACKETS NH","QUECHUA","JACKET",8583190,"17",7,"7","89.94","1","22",25,"26","299.80000000000007","5"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM BEG SSUIT","OLAIAN","BIKINI BOTTOM",8738871,"17",30,"33","107.83999999999999","17","10",224,"259","749.8500000000006","143"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","BOY'S BOARDSHT","OLAIAN","BOARDSHORTS",8789498,"17",29,"33","286.85","18","10",273,"303","2385.4899999999993","152"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","M SUN PROTEC","OLAIAN","TOP",8386750,"17",55,"64","399.60000000000014","24","12",288,"297","1908.0900000000013","106"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","GIRL'S SWIMSUIT","OLAIAN","SWIMMING COSTUME",8789367,"17",12,"13","76.91","4","28",184,"195","898.8200000000007","77"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","BOY'S BOARDSHT","OLAIAN","BOARDSHORTS",8569034,"17",8,"10","41.940000000000005","4","23",49,"51","223.68000000000006","19"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM BEG SSUIT","OLAIAN","BIKINI TOP",8581892,"17",4,"4","15.98","2","35",3,"3","15.98","1"
"CLOTHING","TEAMSPORTS UNIV","BASKETBALL / NE","NBA LAYER 0 M","TARMAK","BASE LAYER",8643459,"17",10,"10","127.90999999999998","1","8",58,"74","987.3100000000003","5"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","MEN RIDING WEAR","FOUGANZA","BREECHES",8677227,"17",18,"22","749.87","9","28",54,"63","1809.69","32"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","COMPETITION GEA","FOUGANZA","TANK TOP",8504042,"17",9,"10","99.92999999999999","3","19",57,"62","649.5600000000002","18"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","HORSE RIDING SO","FOUGANZA","SOCKS",8579105,"17",13,"13","87.88","1","14",37,"35","220.71000000000006","6"
